title,date,location
Community Engagement | Better Bus Project Street Team (Nubian Square),"October 20, 2021, 4:00 PM","Nubian Square Station, Roxbury, MA"
Community Engagement | Better Bus Project Street Team (Sullivan Square),"October 21, 2021, 10:00 AM","Sullivan Square Station, Charlestown, MA"
Community Engagement | Better Bus Project Street Team (Harvard Square),"October 21, 2021, 4:30 PM","Harvard Square Station, Cambridge, MA"
Public Meeting | Green Line Transformation Symphony Station Accessibility Improvements (Virtual),"October 21, 2021, 6:00 PM","Virtual, Boston, MA"
Community Engagement | Better Bus Project Street Team (Wonderland),"October 25, 2021, 10:00 AM","Wonderland Station, Revere, MA"
Public Meeting | Downtown Crossing Accessibility Phase II (Virtual),"October 25, 2021, 6:00 PM","Virtual, Boston, MA"
Community Engagement | Better Bus Project Street Team (Quincy Center),"October 26, 2021, 10:00 AM","Quincy Center Station, Quincy, MA"
Community Engagement | Better Bus Project Street Team (Wonderland) — Canceled,"October 26, 2021, 4:00 PM","Wonderland Station, Revere, MA"
Board Meeting | MBTA Board of Directors (Virtual),"October 27, 2021, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA"
Public Meeting | Bus Network Redesign (Virtual),"October 27, 2021, 6:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"November 10, 2021, 12:00 PM","Virtual, Boston, MA"
"Board Meeting | MBTA Planning, Workforce & Development Subcommittee (Virtual)","November 10, 2021, 3:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Safety Subcommittee (Virtual),"November 10, 2021, 4:00 PM","Virtual, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group — Updates on The RIDE (Virtual),"November 16, 2021, 3:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Board of Directors (Virtual),"November 17, 2021, 10:00 AM","Virtual, Boston, MA"
Public Meeting | Quincy Bus Maintenance Facility (Virtual),"November 18, 2021, 5:30 PM","Virtual, Quincy, MA"
Public Meeting | Accessibility and Daniels-Finegold v. MBTA Settlement Update (Virtual),"December 8, 2021, 1:00 PM","Virtual, Boston, MA"
Public Meeting | Winter 2022 Service Changes (Virtual),"December 8, 2021, 6:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"December 9, 2021, 2:00 PM","Virtual, Boston, MA"
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","December 9, 2021, 4:00 PM","Virtual, Boston, MA"
Public Meeting | Dedham East Street Bridge Replacement (Virtual),"December 9, 2021, 6:00 PM","Virtual, Dedham, MA"
Public Meeting | Arborway Bus Maintenance Facility (Virtual),"December 9, 2021, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Winchester Center Station (Virtual),"December 15, 2021, 6:00 PM","Virtual, Winchester, MA"
Board Meeting | MBTA Board of Directors (Virtual),"December 16, 2021, 1:00 PM","Virtual, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group (R-TAG) (Virtual),"December 16, 2021, 2:00 PM","Virtual, Boston, MA"
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","January 26, 2022, 8:00 AM","Virtual, Boston, MA"
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"January 26, 2022, 9:00 AM","Virtual, Boston, MA"
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","January 26, 2022, 10:30 AM","Virtual, Boston, MA"
Board Meeting | MBTA Board of Directors (Virtual),"January 27, 2022, 10:00 AM","Virtual, Boston, MA"
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"February 10, 2022, 9:00 AM","Virtual, Boston, MA"
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","February 10, 2022, 10:00 AM","Virtual, Boston, MA"
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","February 10, 2022, 11:00 AM","Virtual, Boston, MA"
Public Meeting | MBTA Fare Tariff Changes,"February 10, 2022, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Bus Electrification Update and North Cambridge Carhouse Design (Virtual),"February 15, 2022, 6:00 PM","Virtual, Boston, MA"
Public Hearing | MBTA Fare Tariff Changes,"February 17, 2022, 6:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Board of Directors (Virtual),"February 24, 2022, 10:00 AM","Virtual, Boston, MA"
Advisory Meeting | Riders' Transportation Access Group (R-TAG) (Virtual),"February 24, 2022, 5:30 PM","Virtual, Boston, MA"
Public Meeting | Spring 2022 Service Changes (Virtual),"March 1, 2022, 6:00 PM","Virtual, Boston, MA"
Public Meeting | New Bedford South Coast Rail,"March 1, 2022, 6:00 PM","Virtual, Boston, MA"
Public Meeting | Forest Hills Station Accessibility Updates (Virtual),"March 9, 2022, 6:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"March 10, 2022, 9:00 AM","Virtual, Boston, MA"
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","March 10, 2022, 10:00 AM","Virtual, Boston, MA"
Public Meeting | RLT Codman Yard Expansion and Improvements (Virtual),"March 10, 2022, 6:00 PM","Virtual, Boston, MA"
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","March 11, 2022, 3:00 PM","Virtual, Boston, MA"
Job Fair | Fairmount Indigo Transit Coalition (FITC) Job Fair,"March 14, 2022, 10:00 AM","South Station, Boston, MA"
Public Meeting | Fare Media Changes,"March 15, 2022, 6:00 PM","Virtual, Boston, MA"
Public Hearing | Fare Media Changes,"March 22, 2022, 6:00 PM","Virtual, Boston, MA"
Board Meeting | MBTA Board of Directors (Virtual),"March 24, 2022, 10:00 AM","Virtual, Boston, MA"
Listening Session | Accessibility at the MBTA: Improving the Experience for Riders Who Are Blind or Have Low Vision (Virtual),"March 31, 2022, 3:00 PM","Virtual, Boston, MA"
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"March 31, 2022, 6:00 PM","Virtual, Boston, MA"
Hiring Fair | One-Stop Bus Operator Hiring Event,"April 5, 2022, 9:00 AM","State Transportation Building, Boston, MA"
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"April 6, 2022, 6:00 PM","Virtual, Boston, MA"
Observation Session | Silver Line Extension Alternatives Analysis Working Group (Virtual),"April 12, 2022, 1:00 PM","Virtual, Boston, MA"
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"April 12, 2022, 7:00 PM","Virtual, Boston, MA"
